Parameter:
mode                : fast
seed                : 1
rng_seed            : 1
n_iterations        : 5000
rollout_depth       : 6
exploration_constant: 1.4
max_steps           : 300
save_history        : history.tsv
no_history_print    : False

Final score_rules : 50
Laufzeit           : 1029.286 Sekunden

step	action	score_rules
1	kind=place_tile, tile_id=100, pos=(0, 0), rot=0	1
2	kind=place_tile, tile_id=89, pos=(-1, 0), rot=2	2
3	kind=place_tile, tile_id=72, pos=(-2, 1), rot=2	2
4	kind=place_tile, tile_id=16, pos=(0, 1), rot=2	3
5	kind=place_tile, tile_id=37, pos=(1, 0), rot=5	4
6	kind=place_tile, tile_id=12, pos=(0, -1), rot=3	5
7	kind=place_tile, tile_id=44, pos=(-1, 1), rot=1	5
8	kind=place_tile, tile_id=1, pos=(0, -2), rot=0	6
9	kind=place_tile, tile_id=14, pos=(0, 2), rot=2	6
10	kind=place_tile, tile_id=23, pos=(1, -1), rot=5	11
11	kind=place_tile, tile_id=97, pos=(2, -2), rot=5	12
12	kind=place_tile, tile_id=27, pos=(2, 0), rot=2	19
13	kind=place_tile, tile_id=77, pos=(1, -3), rot=5	19
14	kind=place_tile, tile_id=9, pos=(3, -1), rot=5	20
15	kind=place_tile, tile_id=19, pos=(2, 1), rot=5	20
16	kind=place_tile, tile_id=43, pos=(-3, 2), rot=2	23
17	kind=place_tile, tile_id=10, pos=(-1, -1), rot=3	28
18	kind=place_tile, tile_id=76, pos=(3, -3), rot=4	29
19	kind=place_tile, tile_id=28, pos=(4, -2), rot=1	29
20	kind=place_tile, tile_id=7, pos=(-2, 0), rot=3	29
21	kind=place_tile, tile_id=26, pos=(-1, -2), rot=5	30
22	kind=place_tile, tile_id=17, pos=(-2, -1), rot=2	31
23	kind=place_tile, tile_id=11, pos=(1, 1), rot=3	31
24	kind=place_tile, tile_id=2, pos=(-4, 3), rot=0	31
25	kind=place_tile, tile_id=45, pos=(1, -2), rot=0	33
26	kind=place_tile, tile_id=46, pos=(-3, 0), rot=4	34
27	kind=place_tile, tile_id=21, pos=(-4, 0), rot=1	35
28	kind=place_tile, tile_id=22, pos=(-1, 2), rot=3	35
29	kind=place_tile, tile_id=29, pos=(4, -4), rot=1	35
30	kind=place_tile, tile_id=38, pos=(2, 2), rot=5	35
31	kind=place_tile, tile_id=32, pos=(2, -4), rot=5	35
32	kind=place_tile, tile_id=20, pos=(-3, -1), rot=2	36
33	kind=place_tile, tile_id=34, pos=(-2, -2), rot=5	37
34	kind=place_tile, tile_id=31, pos=(-5, 0), rot=5	37
35	kind=place_tile, tile_id=25, pos=(0, 3), rot=4	37
36	kind=place_tile, tile_id=39, pos=(-4, 1), rot=2	38
37	kind=place_tile, tile_id=24, pos=(-1, -3), rot=4	39
38	kind=place_tile, tile_id=42, pos=(-2, 2), rot=1	41
39	kind=place_tile, tile_id=15, pos=(-5, 1), rot=1	41
40	kind=place_tile, tile_id=30, pos=(4, -5), rot=1	41
41	kind=place_tile, tile_id=0, pos=(-2, -3), rot=0	42
42	kind=place_tile, tile_id=47, pos=(-5, 4), rot=5	42
43	kind=place_tile, tile_id=35, pos=(-2, -4), rot=4	43
44	kind=place_tile, tile_id=40, pos=(-4, -1), rot=2	46
45	kind=place_tile, tile_id=5, pos=(-4, -2), rot=2	46
46	kind=place_tile, tile_id=18, pos=(4, -1), rot=2	46
47	kind=place_tile, tile_id=13, pos=(-1, 4), rot=3	46
48	kind=place_tile, tile_id=33, pos=(-3, -4), rot=1	47
49	kind=place_tile, tile_id=3, pos=(-3, 1), rot=1	47
50	kind=place_tile, tile_id=6, pos=(-1, -4), rot=5	47
51	kind=place_tile, tile_id=41, pos=(0, -3), rot=5	50
