step	action	score_rules
1	kind=place_tile, tile_id=86, pos=(0, 0), rot=0	0
2	kind=place_tile, tile_id=91, pos=(0, 1), rot=5	1
3	kind=place_tile, tile_id=99, pos=(0, 2), rot=2	2
4	kind=place_tile, tile_id=22, pos=(0, -1), rot=3	2
5	kind=place_tile, tile_id=13, pos=(0, -2), rot=0	2
6	kind=place_tile, tile_id=33, pos=(1, 0), rot=5	3
7	kind=place_tile, tile_id=38, pos=(1, 1), rot=5	4
8	kind=place_tile, tile_id=40, pos=(1, -1), rot=2	6
9	kind=place_tile, tile_id=14, pos=(-1, 1), rot=4	6
10	kind=place_tile, tile_id=7, pos=(-1, 0), rot=3	6
11	kind=place_tile, tile_id=9, pos=(-2, 2), rot=3	10
12	kind=place_tile, tile_id=98, pos=(2, -1), rot=2	11
13	kind=place_tile, tile_id=3, pos=(-3, 2), rot=0	11
14	kind=place_tile, tile_id=45, pos=(-3, 3), rot=2	12
15	kind=place_tile, tile_id=10, pos=(2, 0), rot=3	17
16	kind=place_tile, tile_id=101, pos=(-1, 2), rot=2	18
17	kind=place_tile, tile_id=34, pos=(2, 1), rot=0	19
18	kind=place_tile, tile_id=43, pos=(-2, 3), rot=3	25
19	kind=place_tile, tile_id=73, pos=(0, -3), rot=5	25
20	kind=place_tile, tile_id=25, pos=(-1, 3), rot=2	26
21	kind=place_tile, tile_id=16, pos=(-2, 4), rot=1	27
22	kind=place_tile, tile_id=0, pos=(2, 2), rot=0	28
23	kind=place_tile, tile_id=21, pos=(3, 2), rot=4	29
24	kind=place_tile, tile_id=46, pos=(2, 3), rot=1	30
25	kind=place_tile, tile_id=37, pos=(-1, 4), rot=4	31
26	kind=place_tile, tile_id=41, pos=(0, 3), rot=4	33
27	kind=place_tile, tile_id=17, pos=(3, 3), rot=4	34
28	kind=place_tile, tile_id=4, pos=(2, 4), rot=4	34
29	kind=place_tile, tile_id=29, pos=(-1, 5), rot=3	41
30	kind=place_tile, tile_id=105, pos=(1, 2), rot=3	42
31	kind=place_tile, tile_id=32, pos=(1, 3), rot=3	48
32	kind=place_tile, tile_id=89, pos=(4, 3), rot=4	49
33	kind=place_tile, tile_id=81, pos=(-1, -1), rot=3	49
34	kind=place_tile, tile_id=6, pos=(-2, 0), rot=1	49
35	kind=place_tile, tile_id=35, pos=(3, 4), rot=0	50
36	kind=place_tile, tile_id=42, pos=(-3, 1), rot=5	56
37	kind=place_tile, tile_id=87, pos=(1, -3), rot=1	56
38	kind=place_tile, tile_id=15, pos=(4, 4), rot=2	56
39	kind=place_tile, tile_id=8, pos=(-1, 6), rot=0	57
40	kind=place_tile, tile_id=28, pos=(5, 4), rot=2	57
41	kind=place_tile, tile_id=19, pos=(-2, 5), rot=0	57
42	kind=place_tile, tile_id=18, pos=(-4, 4), rot=4	57
43	kind=place_tile, tile_id=44, pos=(-2, 6), rot=5	57
44	kind=place_tile, tile_id=20, pos=(1, 4), rot=5	58
45	kind=place_tile, tile_id=26, pos=(0, 5), rot=1	59
46	kind=place_tile, tile_id=5, pos=(4, 1), rot=1	59
47	kind=place_tile, tile_id=1, pos=(1, 5), rot=4	60
48	kind=place_tile, tile_id=47, pos=(-5, 4), rot=2	60
49	kind=place_tile, tile_id=23, pos=(4, 0), rot=5	60
50	kind=place_tile, tile_id=39, pos=(3, 5), rot=0	61
51	kind=place_tile, tile_id=30, pos=(1, -2), rot=3	61
52	kind=place_tile, tile_id=31, pos=(6, 4), rot=5	61
53	kind=place_tile, tile_id=11, pos=(-3, 7), rot=5	61
54	kind=place_tile, tile_id=24, pos=(3, 6), rot=3	62
55	kind=place_tile, tile_id=12, pos=(2, 6), rot=5	63
