step	action	score_rules
1	kind=place_tile, tile_id=86, pos=(0, 0), rot=0	0
2	kind=place_tile, tile_id=91, pos=(-1, 1), rot=0	1
3	kind=place_tile, tile_id=99, pos=(1, -1), rot=1	2
4	kind=place_tile, tile_id=22, pos=(0, 1), rot=4	2
5	kind=place_tile, tile_id=13, pos=(1, 0), rot=5	2
6	kind=place_tile, tile_id=33, pos=(-1, 2), rot=0	3
7	kind=place_tile, tile_id=38, pos=(0, -1), rot=1	4
8	kind=place_tile, tile_id=40, pos=(1, 1), rot=5	6
9	kind=place_tile, tile_id=14, pos=(2, 1), rot=5	6
10	kind=place_tile, tile_id=7, pos=(2, 0), rot=3	6
11	kind=place_tile, tile_id=9, pos=(2, -1), rot=4	7
12	kind=place_tile, tile_id=3, pos=(0, 2), rot=3	7
13	kind=place_tile, tile_id=45, pos=(1, 2), rot=3	10
14	kind=place_tile, tile_id=10, pos=(-1, 0), rot=3	11
15	kind=place_tile, tile_id=34, pos=(-1, -1), rot=3	16
16	kind=place_tile, tile_id=98, pos=(-1, 3), rot=0	17
17	kind=place_tile, tile_id=43, pos=(0, -2), rot=5	19
18	kind=place_tile, tile_id=25, pos=(1, -2), rot=5	20
19	kind=place_tile, tile_id=16, pos=(2, -3), rot=4	21
20	kind=place_tile, tile_id=0, pos=(-1, -2), rot=3	22
21	kind=place_tile, tile_id=21, pos=(-2, 3), rot=0	23
22	kind=place_tile, tile_id=46, pos=(-2, -2), rot=3	24
23	kind=place_tile, tile_id=37, pos=(1, -3), rot=1	31
24	kind=place_tile, tile_id=101, pos=(2, -2), rot=1	31
25	kind=place_tile, tile_id=41, pos=(3, -3), rot=4	37
26	kind=place_tile, tile_id=73, pos=(-2, 2), rot=2	37
27	kind=place_tile, tile_id=17, pos=(-2, 4), rot=3	38
28	kind=place_tile, tile_id=4, pos=(-3, 3), rot=1	38
29	kind=place_tile, tile_id=29, pos=(-3, 2), rot=2	43
30	kind=place_tile, tile_id=105, pos=(1, -4), rot=0	44
31	kind=place_tile, tile_id=32, pos=(-4, 4), rot=5	44
32	kind=place_tile, tile_id=6, pos=(-3, 4), rot=4	44
33	kind=place_tile, tile_id=35, pos=(-2, -3), rot=0	45
34	kind=place_tile, tile_id=42, pos=(-3, 1), rot=5	47
35	kind=place_tile, tile_id=15, pos=(2, -5), rot=5	47
36	kind=place_tile, tile_id=8, pos=(-4, 5), rot=4	47
37	kind=place_tile, tile_id=28, pos=(1, 3), rot=5	47
38	kind=place_tile, tile_id=19, pos=(2, -6), rot=1	47
39	kind=place_tile, tile_id=18, pos=(0, -4), rot=0	47
40	kind=place_tile, tile_id=44, pos=(3, 0), rot=0	47
41	kind=place_tile, tile_id=20, pos=(-3, -2), rot=4	48
42	kind=place_tile, tile_id=26, pos=(-1, -4), rot=4	49
43	kind=place_tile, tile_id=5, pos=(4, -4), rot=3	49
44	kind=place_tile, tile_id=1, pos=(-2, -4), rot=1	50
45	kind=place_tile, tile_id=47, pos=(-5, 6), rot=0	50
46	kind=place_tile, tile_id=23, pos=(-3, 0), rot=1	50
47	kind=place_tile, tile_id=39, pos=(-4, -2), rot=4	51
48	kind=place_tile, tile_id=30, pos=(-2, -1), rot=2	51
49	kind=place_tile, tile_id=31, pos=(-3, -1), rot=3	51
50	kind=place_tile, tile_id=11, pos=(4, -1), rot=3	51
51	kind=place_tile, tile_id=24, pos=(-5, -2), rot=1	52
52	kind=place_tile, tile_id=12, pos=(-2, 5), rot=3	53
